index,user,expected,onchain,action,txHash,status
42,0x21acc7b9d6fc22bcacc04f2d54825db0ef1fdfb3,60.0,0.0,ADDED,0xaf4eaa12ff3f33ade107f5142973e9b3947fb0e46c7398b616726f59b6fde1f8,OK
43,0x22a875bc5465c37199d7a9cef55f385656a9b105,20.0,0.0,ADDED,0x421876e74e68764c21e559846b534d44c02754be6f626c440a8e828ded921702,OK
44,0x246e409bdb7444f78e78f86283e353a3e9809114,20.0,0.0,ADDED,0x14741e44bf261144bbc7a5d0f0b561f96489b605e6ee2e9ea5a774f79f9781e8,OK
45,0x24d2ec7f65145cd410fc7f19f4f7a226192fe599,10.0,0.0,ADDED,0x4bd030115fe3c8292dbd9f552ca6f880645c167a7f7980bf1f84201d46b58d26,OK
46,0x25f5e82204fe567817d20fc3af35b3182bc2d081,10.0,0.0,ADDED,0x507f1fd3e53eb465b2e56f3c583cde97303128c685fbcd5d4cbfef9e3111c38e,OK
47,0x29bd7ab23437050a21553ed1aab0f1400826f84f,420.0,0.0,ADDED,0x5f1229b93a27cbd1176e89de6f92e7810ea71c47a4303a33b5860a5678e5aeb3,OK
48,0x29d24338cf32621b652222ea2deef4decefb7b7d,110.0,0.0,ADDED,0x2850439add4cc711b577919eb9b9ecaad0a00aef511fe120dd983a5492131584,OK
49,0x2abe2b8b4ae218d698b17b48fd86ce9a10a3dd56,10.0,0.0,ADDED,0xd6d3b718001b50bf3a83f2112fe4e75db733117d961c68808c352580b07813b3,OK
50,0x2c5cd7b552554b586c3e940a03666497c40e6b95,20.0,0.0,ADDED,0xf1a01e40236348e1c00a310a584c591a0d5f6a02990de4aaba84429f2b733aa3,OK
51,0x2d737ee89b1a33e0ae4c50e109de1a4386825273,20.0,0.0,ADDED,0xb2ce3cf394b9e07e50d993f55cadeb02a5b6f28c64bc637703e019c8f3e83b24,OK
52,0x2f519488cf27a109fb15f1b966b65103031b78be,250.0,0.0,ADDED,0xd296f53b4ae6a124f6353f7ca33dda932c7809bc7ce1f412158b0a7f251d35c0,OK
53,0x30ebcabf3d91cee63ac38d7aad6dffc0d8e2b4be,20.0,0.0,ADDED,0x5035822f9a7df11bd649d70d78cd6a6172b8d2f9d89f40ab206becd6bb173eac,OK
54,0x31a82f0b0b77f6c1eebdf6c4314375991514ed83,10.0,0.0,ADDED,0xdf9d91a7a04e39bfb677e4fd66c98943745dd650dc42a78fd047f0dbe0304698,OK
55,0x32616ea7150c8ffb26836153f8127df0abb425db,20.0,0.0,ADDED,0xc773919d424335f2ad5c34440f9b5513ae64139e407b8c79decb2ac07ba50a1a,OK
56,0x3309a2038535abe2c418a8ddf06db0301e322f71,10.0,0.0,ADDED,0xa8c8f640742ef5c501ddae109b09e02679b31773f3c743a62f7c015df911eff4,OK
57,0x335a4d752c726266a8cde962674770c50b2220ba,1000.0,0.0,ADDED,0xf8648d3f5eb1ef246dda68da4740286d65c801aee5c7eb6340ae4deeb5ebc413,OK
58,0x338db8cf8bcdc24c6afc5251fd2cdf0f1a877d13,50.0,0.0,ADDED,0x528bc7e1b888af432ad8a2b28e4f7c9c0800774238514f678c6460f7dbcae5ed,OK
59,0x341eb9c2c61874d23f77b4b2b2825366a3f1d2e8,160.0,0.0,ADDED,0xcba089047030a1bec53975f840ec3787db6492167b1413c84227c3793b34d263,OK
60,0x3770f0871b28ab40f8b9e1d12fbf04be4305be48,20.0,0.0,ADDED,0xaaa89daa21e6f4555def8fd270d3a26418c193c077bc7649720612f1a2d42ab5,OK
61,0x37bf82de7fd36faf54b2c10f8f0d8eed56e4f421,10.0,0.0,ADDED,0x29739fe6ecfbe04b167b4e9a514426254bf3b3b81609c449a3f0645e7e5b0b71,OK
62,0x37c8abd61d6717bdc579688434c81104b9369b82,20.0,0.0,ADDED,0x647baf9fea2be77a9e67dea2ad2a046da4e3b2863651da21e5b9561f9c2eb9f5,OK
63,0x39b4f1a3acfac447feb8efab0f5f5e314ffc852f,400.0,0.0,ADDED,0x0f8ba7e7c9d0ba4183ffafb6043973ea3f2bae77a66ab684bbbaf5438da2ace2,OK
64,0x3a43821a97295d6fc0cb712c2707a110a8f4a2e7,908.9,0.0,ADDED,0xb02c214904b2af06b8a8dcc90908c6c860f7ac2406a4f53af16b7f5604b8bdd4,OK
65,0x3c0c91b009811df65df540352c407ac2650828bc,10.0,0.0,ADDED,0xe08157d555628e7680ad2294e11dc492e71a9e3905789da0aa524dcdb4b9c801,OK
66,0x3d11e00f91530286622df463bf138559462715d0,20.0,0.0,ADDED,0xd5a7a066ce615289567c76756b8ca8b4e0ffad61fe93827f67402b72fcccdccd,OK
67,0x3eb289d79aacddad757200d8933f11fa219a06ff,10.0,0.0,ADDED,0x86532299754f6f42ae894d42ff4ee56cbbada34dcc5908727ef8896f988f9d43,OK
68,0x4032fd093e35b40222df9c2caed0c9eb2ddfb4b7,30.0,0.0,ADDED,0x3c777fa3bcb7cab1565f5b2945d9ff5e2e47b856459e63d4e6d7339c36e436a2,OK
69,0x4125097637c7f8add9ffe7f9abf64c0b5406f31c,50.0,0.0,ADDED,0x8e11b80c972b127c417e57b2d453389a019c25210e6cf5f1abd474c65c7b8fa9,OK
70,0x422d45f728e3d2535595209ae752c846692803ea,10.0,0.0,ADDED,0x611ed194162b9cb14da52d4488c6b271b78b482eec8078b82f9d81534ee2e217,OK
71,0x430a164ede1661d3109bddaac03ba35b29ad48bd,55.0,0.0,ADDED,0xfdc71fd556261645458d9d7e0ba42273ac1db4cb2346b84089e7dc964a786a71,OK
72,0x443cd25358f1485110ac11ed3d1bc30cda0bd566,330.0,0.0,ADDED,0xa3fc42800d66ef066491112bbfdf90eb11cad92e3ae701aef4e65c054587eb3d,OK
73,0x44617fa71c9beb8577f70df5b554d5e91e8966d3,90.0,0.0,ADDED,0xc53ea61cc7070a2314ba174ccb2fe5cb1b4def3f9c676719268635afa9cdc0a4,OK
74,0x44e01327ed481e581834517b21bf89eab2b10628,20.0,0.0,ADDED,0x4990b30ee60a596923f490dd87602c2b95bbdfaf71885a5791c3a200128cf6c4,OK
75,0x45cd581299c40c1e2bbb8b6cb02522c370142d62,100.0,0.0,ADDED,0x09cef1b3dd50afa66b5a59e2bbef53cf3c37c4fca8300583bf506ffc0b9b41a2,OK
76,0x46f661d812f84b705a2ea7058397b666aac23e30,100.0,0.0,ADDED,0x5c25a334822864532c52ba767bb8866c181d4373b652203ce6cdb50cc9bd63d4,OK
77,0x476015cb09e41e30c48fed85f9bf1947aae3d917,80.0,0.0,ADDED,0xb25da048d6ad76ef5883ae0f00345ac0e626c3e89260536db92d4985f0c46e40,OK
78,0x4838fd2361751cdb91ecd8de0cca906990be20bd,10.0,0.0,ADDED,0x66de1f64f082a84e47ce203d671c36cf3ae176a7f846a922358d2242e96e46b8,OK
79,0x4ae132b9deb3a87f9f2fbb226bb8b936f201fff5,25.0,0.0,ADDED,0x54c5bb716334cd67e0ba55ed15e8263b6f256d8b0d196db8e87a12d79065a90e,OK
80,0x4cf7328572da81e87d69999cec5e9ddeb882fe4b,20.0,0.0,ADDED,0x54a6e92300eb725a75a39cfe1b01057aeb1e61369865872d8e3a3341c619145f,OK
81,0x4d58440da35c5e61861c28317c3819adcaf0acd3,10.0,0.0,ADDED,0x89da0dffcae6da0909e19d38a236bfd399471890bc1960f26036a183866de3d0,OK
82,0x4e7ebbd5210c7fd4c63f89f1829055b496a9e177,10.0,0.0,ADDED,0x3e66a87c2c10919a6bddf68b35c43425ee43c0311eb90939ff14fd5adb4ee7e9,OK
83,0x4ea218ed8803de17e16194e06708789b56ddfbff,900.0,0.0,ADDED,0x0990833ecea9313879d6ea0fc0b54e8a06ad6a71b0a06bcf4a1b5c66ab63e343,OK
84,0x50d0d488960d7a1ecd31d762867be4629fa31941,1710.0,0.0,ADDED,0x400debf880e779ed92b4caffd85f7c2666395fc9ef683022f54e50fdc7d916f4,OK
85,0x50f17dfc3ebe89c9ba9905612931f3994fa5810d,30.0,0.0,ADDED,0x85d9a16bd51077b179e1ff67469fcb26f84a298179dfc9f6628d8c2808cb7ac5,OK
86,0x523123e0ee29be5d940dda33b808726e5274d918,20.0,0.0,ADDED,0x5e7d7b8d342f00ce0cb1d68e4dfc26b3dfffe9e5e74b35ed4e2c04b94db5bc3f,OK
87,0x52ad561ef36f9aa77ba724484e8f8c2b6b8d84a2,22.0,0.0,ADDED,0x581cd33b89298f013fd1e5d0e349b0d49100092408d9ca9db66ed427f4bba1f5,OK
88,0x546b298b44a14fb93998809ce82e43ccad64b10c,10.0,0.0,ADDED,0x89c6a4a058bd187bbf3098589c2f197164fef887ca08cad25b69fd0cd23755ab,OK
89,0x54ee7ae10ed9a7bebdfa0efab88d7334d15db299,100.0,0.0,ADDED,0x087cce1a6c40a98e3cf90d430da5f360c848fc267dc1021028fbddefc1c78f33,OK
90,0x558c3aab1c967f7d7bce906c3aecfdd004b2d8ef,20.0,0.0,ADDED,0x9d2a05e3334ef81a4c9681554a7c9a9b5f6854bbc6953faad7f9f5e534e76c6d,OK
91,0x5596da639ee94956859663bd76e470397fe8fa7c,20.0,0.0,ADDED,0xa3283dccea735a4ee2f9f95c9e31f28e4ae8a0cc978b950f7ab7ca422349b4a7,OK
92,0x56dbb6690487768ea4eb284c3a1b472abc818701,10.0,0.0,ADDED,0xc14dccba0df3004714c5343d87837f53b079ee036199da1d041b838fbbe5dd82,OK
93,0x56dd2491251b36497cef62fbd4e24ee55d1e0d77,395.0,0.0,ADDED,0xa16d8d5495908e26e603cfeeedf4692942d1e30ce26aa2db76b33e074b45c528,OK
94,0x56f2987c0a1b017703a6ffeb91cdb587959447ff,250.0,0.0,ADDED,0xf61c72ad349169ee07110e4063d7c08194fade1d1f369ec71fd06035839e2820,OK
95,0x5a690ebce06b6b698922c95053e11352ede743db,20.0,0.0,ADDED,0x1cb5a85fa81eab073d36d4ecfaa28acaf6b5b58c16ef9b5a9d6476bb140f3731,OK
96,0x5b33a958fde0b4161caa1a898400c37f69758d9b,50.0,0.0,ADDED,0xd1b6657656663e7ac6812e4853e60f77cd343474f345fea237f67cd26fc680b3,OK
97,0x61b0cb0b884131b6ae6df4c43c7570521dc17360,10.0,0.0,ADDED,0xb23d4539b0d0f69fee9895466484f2449ef818812fc4e2f6e62388c86aa66107,OK
98,0x6276ac538c9f18f4dc6b058e7d558f0e3d38d952,20.0,0.0,ADDED,0x6f66420f4d956a7072923c5770fc1ebcba9bbd1e0a0fdf423a687180cd177dc7,OK
99,0x6360eabf97be5d81639f5258be76a9a09e644974,10.0,0.0,ADDED,0x26f36ef9d87d08985cce08c27a16327a998b277f949730365e0b5e5de58e7be5,OK
100,0x655282b1aab7f7bb4f37d68d2f4d0f4c436d7da1,10.0,0.0,ADDED,0x0720ef06b4914ed09942bd5110082713ef00c1d073b223df4aea2d5f41c79920,OK
101,0x6726f92ae08a26a411fadc5b0bb8f0a28b6dd7ca,20.0,0.0,ADDED,0x2a38e3e85bfda583574dea673eadd67c80193f6667b7942c38d167353d46bfe5,OK
102,0x6832600d63bb250f1c254fa15096eaa1a6928769,20.0,0.0,ADDED,0x578e940c4c2edca4fd9392323d8ac53d415b9b8f5f02ec8b6d03c6b8f9043519,OK
103,0x689a5c3643561e26742d2332209fe834599cf0a5,20.0,0.0,ADDED,0x1dcc63a7a755b3279a00ce3258fa569730459599ce8561a4d7e42a5588cd44a7,OK
104,0x6a1d1641b3bf38610b9bd4d70038d3ccfa8682de,10.0,0.0,ADDED,0xa2764d0277cdeb9a11124dc0d573c41bbe891dab07c5f9c5c9aff2bc1891a834,OK
105,0x6a6400e28052cf9b514a2d2cebe4ccdb38510468,90.0,0.0,ADDED,0x80ae1a9d013ff612119e5a8d4739a75420c12723a30af4f349fa0b9d42c2ef92,OK
106,0x6bfb94de6aa15fcf578d1239b24fb74789483afd,240.0,0.0,ADDED,0x8d71cd958d81fba6fa616c904cb8693a854184b13d911d966078d00cb9645267,OK
107,0x6c1d4081dc385cb3395bbd0cd2fc37502afb5dd9,25.0,0.0,ADDED,0x20eaa671ef9e96c26998b6563cd9947a0b057a268adba96a441ea8db40634ea2,OK
108,0x6dd693dcac1773deea67fa46b16472580e71e2a1,10.0,0.0,ADDED,0x9c69ebb09e3d0ddf63a9fd460d3b5e172a8b1f8e2c37cdb7c4bb19896af442b8,OK
109,0x6f5df80d8790335e5027d1cf72442eda268db34b,20.0,0.0,ADDED,0xb963d7327a75d25f66a4322f5acda13416bd2a27dfd9bc89c02172cf497e4b13,OK
110,0x703cf8d4c26e2ee246a2ee8aa41edee6c2d672ee,10.0,0.0,ADDED,0xa394617a5c93989e6c6798c62abfcbb8d297ef4abe3448491eab3b9e101a4c39,OK
111,0x7087c00d236c27007353e5824ae30221be9afb94,70.0,0.0,ADDED,0x5a31699d20aebff50bea65c0930db563ace0380f003bbc31750f5284d340566c,OK
112,0x710fcbd86779d974abd0428595c2ae5ed0754288,10.0,0.0,ADDED,0x0f722de1e2bb8442302c56d3c7248141cf5d3fcd15212bc91f52a08ce90fa330,OK
113,0x7179136a1a3910220e15bf1e712bb54c9e570133,110.0,0.0,ADDED,0x4e3ae905fc15662f217071f7cff5e92386b66295ba596ef1d288e5ade66d5e54,OK
114,0x71ecd255d056523bb396d5d4e012859e3a173475,18.0,0.0,ADDED,0xed8a3a4335cc1d74fec70f6dd686163899a4912a8f7f75c2eff9ace68921e121,OK
115,0x721bfb3b48e27b884c4cedf35062cdba08ae90ec,20.0,0.0,ADDED,0x19ceba0a85965435870f4a8211b640c69c592d89ccb74cde294b834c85062298,OK
116,0x728d949e9fe1a31036126726a3a5535ab566e34b,10.0,0.0,ADDED,0xd3e2aea56882723ca24c7c3edbdd46616872cb68e4360a370008eb01a9adf6c4,OK
117,0x73ac2ce75ad2fce2d3eb1a318bb511418ff4c769,40.0,0.0,ADDED,0xa783cace46cd36e3fe8388a0f2bad222dcbf311371e25acd0205b98117bb9ae1,OK
118,0x755fdf84b7024e79804b9b7339a45af536c3c164,10.0,0.0,ADDED,0x6ff944a8bb0faf73c5e266c2e25f61ca0a10fdcc96665827282b43a7874725ad,OK
119,0x75c5df8f8d8771e058688e68378cec1da0ca7c75,40.0,0.0,ADDED,0x270a3dfb1569ed27e4fbcce8ef52960ed647f9a0817825a79d9308f0b337fb5c,OK
120,0x75c77f520a3ce913e0da3d16bdeb8ac67835c9be,240.0,0.0,ADDED,0xdaffe39a7388b40eed8acc2dec019b6923f538804f08328f3b3ae208fc5d11c5,OK
121,0x761b37a4d509e77caa134741611e42324d269971,20.0,0.0,ADDED,0x8522c38be87fb33bb9e25f97097f8f205d464214e790a76b365c224b39be29db,OK
122,0x78be61444cc117e9e659d6888383866c7a4e4d37,50.0,0.0,ADDED,0x1eb3cedd51c43f2a7e86610ccb4320b9070ac84f617385011de0acd056e77e69,OK
123,0x7a5ee656af66c728528d737a5b1a94ea84a2b0d4,20.0,0.0,ADDED,0xe0a821c0f8db195b31bb856f3eb1903e0b6b237323860bf5a63cfb6be9ae1641,OK
124,0x7cad5b26f5cd8d7c37cdc451e1988a751e6b3e99,1000.0,0.0,ADDED,0xb7320cfe3ed42db0c548add6c3bdf5f5a4b3ee4924daec05affa2556ed70c62a,OK
125,0x7cd1e77ec93f3cb106f7c8776e45ebc5b70e7c27,60.0,0.0,ADDED,0x1f097340df7a85446818704a50422fc7b2676c28292e63e669a71a706c97c001,OK
126,0x7e3f1e1e62d754056e3088f551f148af0d0be90b,20.0,0.0,ADDED,0x6fe0900a01b4b5cea73736974ce574619f788f2381b1edb80b161dc0d9540959,OK
127,0x7ebc51541dadaf555f60f99b7af2822cf422623a,10.0,0.0,ADDED,0xe514260f52f76de5d65e12f970a2bbf72aa7ff96a0b438688412963340e7c0e1,OK
128,0x7ec1f784d4db1c967302e1402bd9248b531b3d29,174.95,0.0,ADDED,0xf1ec5d3ea328e2cc0bd1320d8680ce709dd2140b65942cbb2d2053f65db96678,OK
129,0x7ece6298065988cc43a43e18365c0dd3d4c572cd,290.0,0.0,ADDED,0xaa4dd0c56a73c5f84e612d9ecdf518030fabe8dbc41cc658c68864ac3061ee5c,OK
