user,oldPrincipalUsd,cmsAmountUsd,finalPrincipalUsd,skippedReason
0x341eb9c2c61874d23f77b4b2b2825366a3f1d2e8,0.0,0.0,0.0,zero-principal
0x353d125bb4cd560d329c1cff79e5b60ec0d842af,0.0,0.0,0.0,zero-principal
0x364d33e64e60238720805c2e59e5e4a2ca3d5940,0.0,0.0,0.0,zero-principal
0x36ad9191b6667a049b891cfd9b9ff61ffa832a6d,0.0,0.0,0.0,zero-principal
0x37329a6c955287079f79d50ec3df5079485d632f,0.0,0.0,0.0,zero-principal
0x3770f0871b28ab40f8b9e1d12fbf04be4305be48,0.0,0.0,0.0,zero-principal
0x37994e4bd23fab4b43cce548bbb5b1618aacbe7b,0.0,0.0,0.0,zero-principal
0x37b6738cc78cacb87b35e4958a515343bd0ceb32,0.0,0.0,0.0,zero-principal
0x37bf82de7fd36faf54b2c10f8f0d8eed56e4f421,0.0,0.0,0.0,zero-principal
0x37c8abd61d6717bdc579688434c81104b9369b82,0.0,0.0,0.0,zero-principal
0x38262a93d317234072b9f3484040ec3539c0d057,0.0,0.0,0.0,zero-principal
0x39b4f1a3acfac447feb8efab0f5f5e314ffc852f,0.0,0.0,0.0,zero-principal
0x3a10089f51616835a6c31ba23683747d6e8e8ac7,0.0,0.0,0.0,zero-principal
0x3a43821a97295d6fc0cb712c2707a110a8f4a2e7,0.0,0.0,0.0,zero-principal
0x3c0c91b009811df65df540352c407ac2650828bc,0.0,0.0,0.0,zero-principal
0x3c78289b862360234de151b8c2d5d7b8727d88d9,0.0,0.0,0.0,zero-principal
0x3d11e00f91530286622df463bf138559462715d0,0.0,0.0,0.0,zero-principal
0x3eb289d79aacddad757200d8933f11fa219a06ff,0.0,0.0,0.0,zero-principal
0x3f8b9c65dc8c29679657c58482635ff733de18b9,0.0,0.0,0.0,zero-principal
0x4032fd093e35b40222df9c2caed0c9eb2ddfb4b7,0.0,0.0,0.0,zero-principal
0x4125097637c7f8add9ffe7f9abf64c0b5406f31c,0.0,0.0,0.0,zero-principal
0x413ee8adf768b9a7f884803857d8054d662ae59c,0.0,0.0,0.0,zero-principal
0x422d45f728e3d2535595209ae752c846692803ea,0.0,0.0,0.0,zero-principal
0x430a164ede1661d3109bddaac03ba35b29ad48bd,0.0,0.0,0.0,zero-principal
0x437399c8a74d5939bacef4eea3bd199456499c53,0.0,0.0,0.0,zero-principal
0x43b60deba19ea86cf9e1d3422fa5e5a070efe0d9,0.0,0.0,0.0,zero-principal
0x443cd25358f1485110ac11ed3d1bc30cda0bd566,0.0,0.0,0.0,zero-principal
0x44617fa71c9beb8577f70df5b554d5e91e8966d3,0.0,0.0,0.0,zero-principal
0x44af1628322e4224a08483c913b8d6d1b1a46578,0.0,0.0,0.0,zero-principal
0x44e01327ed481e581834517b21bf89eab2b10628,0.0,0.0,0.0,zero-principal
0x44fa875c7d50c11af5d0db5765208830fc86134f,0.0,0.0,0.0,zero-principal
0x45cd581299c40c1e2bbb8b6cb02522c370142d62,0.0,0.0,0.0,zero-principal
0x46e462946217b4924587a68e57b0b3d72145281b,0.0,0.0,0.0,zero-principal
0x46f661d812f84b705a2ea7058397b666aac23e30,0.0,0.0,0.0,zero-principal
0x47125eb5498512680afa05f20beff546f9a4f6af,0.0,0.0,0.0,zero-principal
0x476015cb09e41e30c48fed85f9bf1947aae3d917,0.0,0.0,0.0,zero-principal
0x47fd6fa8d1cb88a5b11d5b793b6b43f5f4796cc6,0.0,0.0,0.0,zero-principal
0x4838fd2361751cdb91ecd8de0cca906990be20bd,0.0,0.0,0.0,zero-principal
0x488c2aaec2e31ac965e392b11db48e1fc9e9f749,0.0,0.0,0.0,zero-principal
0x49722dbfbfa917fcfb76027aeecce783f30560f9,0.0,0.0,0.0,zero-principal
0x499ccdee4fe451b257c7dc5c753f0a52ed081c79,0.0,0.0,0.0,zero-principal
0x49b4de2d81f72e713290b77c51e909212cc45325,0.0,0.0,0.0,zero-principal
0x4ae132b9deb3a87f9f2fbb226bb8b936f201fff5,0.0,0.0,0.0,zero-principal
0x4b594ec450dbced03d1db3b84e0585482058ab3d,0.0,0.0,0.0,zero-principal
0x4b7974fd1f4c2b3eb6923f17aa3fbcf6cdca7a8c,0.0,0.0,0.0,zero-principal
0x4bf72599503f47e60144b505de58ea94654f52de,0.0,0.0,0.0,zero-principal
0x4c04e52bf46b29f8d85ac0592f24dca8aefee056,0.0,0.0,0.0,zero-principal
0x4c221db0224f1e0edaade4dbc5160744868e5838,0.0,0.0,0.0,zero-principal
0x4cf7328572da81e87d69999cec5e9ddeb882fe4b,0.0,0.0,0.0,zero-principal
0x4d357631ddbaf306e1264aeb42fa9a94febb3a77,0.0,0.0,0.0,zero-principal
0x4d58440da35c5e61861c28317c3819adcaf0acd3,0.0,0.0,0.0,zero-principal
0x4e7ebbd5210c7fd4c63f89f1829055b496a9e177,0.0,0.0,0.0,zero-principal
0x4ea218ed8803de17e16194e06708789b56ddfbff,0.0,0.0,0.0,zero-principal
0x4f0ca14f2cbfbd1cfa77f6f4130521425423ae66,0.0,0.0,0.0,zero-principal
0x4f87a4f8474d435533a66327510683b12128110b,0.0,0.0,0.0,zero-principal
0x4ff3a89bada3c67c5e3572e43452a4a794c00478,0.0,0.0,0.0,zero-principal
0x50d0d488960d7a1ecd31d762867be4629fa31941,0.0,0.0,0.0,zero-principal
0x50f17dfc3ebe89c9ba9905612931f3994fa5810d,0.0,0.0,0.0,zero-principal
0x52186c1dfca715c1318c1a57e8402a06944a159d,0.0,0.0,0.0,zero-principal
0x523123e0ee29be5d940dda33b808726e5274d918,0.0,0.0,0.0,zero-principal
0x52ad561ef36f9aa77ba724484e8f8c2b6b8d84a2,0.0,0.0,0.0,zero-principal
0x53fb055244972b321b149a1b768eab679bbc96d7,0.0,0.0,0.0,zero-principal
0x546b298b44a14fb93998809ce82e43ccad64b10c,0.0,0.0,0.0,zero-principal
0x54ee7ae10ed9a7bebdfa0efab88d7334d15db299,0.0,0.0,0.0,zero-principal
0x558c3aab1c967f7d7bce906c3aecfdd004b2d8ef,0.0,0.0,0.0,zero-principal
0x5596da639ee94956859663bd76e470397fe8fa7c,0.0,0.0,0.0,zero-principal
